timestamp,data
2026-02-02T14:34:01.611,[0:13:02.419]:24.8941 Cel
2026-02-02T14:34:01.615,accel 8.190563 -0.112528 7.010222 m/s/s
2026-02-02T14:34:01.619,gyro  -0.055290 0.013189 -0.008660 rad/s
2026-02-02T14:34:01.723,[0:13:02.531]:24.8471 Cel
2026-02-02T14:34:01.727,accel 8.255207 -0.138864 7.036558 m/s/s
2026-02-02T14:34:01.731,gyro  -0.058355 0.008260 -0.008526 rad/s
2026-02-02T14:34:01.835,[0:13:02.643]:24.8 Cel
2026-02-02T14:34:01.838,accel 8.171410 -0.081403 7.036558 m/s/s
2026-02-02T14:34:01.842,gyro  -0.057422 0.012656 -0.011058 rad/s
2026-02-02T14:34:01.946,[0:13:02.754]:24.8 Cel
2026-02-02T14:34:01.950,accel 8.164227 -0.074221 7.101202 m/s/s
2026-02-02T14:34:01.954,gyro  -0.058088 0.010258 -0.011191 rad/s
2026-02-02T14:34:02.058,[0:13:02.866]:24.8471 Cel
2026-02-02T14:34:02.061,accel 8.228871 -0.035914 7.048529 m/s/s
2026-02-02T14:34:02.065,gyro  -0.057289 0.009192 -0.009859 rad/s
2026-02-02T14:34:02.169,[0:13:02.977]:24.8 Cel
2026-02-02T14:34:02.173,accel 8.113949 -0.052673 7.026981 m/s/s
2026-02-02T14:34:02.177,gyro  -0.056223 0.010924 -0.010791 rad/s
2026-02-02T14:34:02.281,[0:13:03.089]:24.8471 Cel
2026-02-02T14:34:02.285,accel 8.195352 -0.067038 7.007828 m/s/s
2026-02-02T14:34:02.288,gyro  -0.056490 0.006395 -0.011857 rad/s
2026-02-02T14:34:02.393,[0:13:03.201]:24.8941 Cel
2026-02-02T14:34:02.396,accel 8.204929 -0.124499 6.976703 m/s/s
2026-02-02T14:34:02.400,gyro  -0.054358 0.011591 -0.008526 rad/s
2026-02-02T14:34:02.504,[0:13:03.312]:24.8471 Cel
2026-02-02T14:34:02.508,accel 8.238447 -0.043096 7.043741 m/s/s
2026-02-02T14:34:02.512,gyro  -0.057022 0.010258 -0.008526 rad/s
2026-02-02T14:34:02.616,[0:13:03.424]:24.8941 Cel
2026-02-02T14:34:02.620,accel 8.228871 -0.045490 7.053318 m/s/s
2026-02-02T14:34:02.623,gyro  -0.055823 0.009992 -0.012390 rad/s
2026-02-02T14:34:02.728,[0:13:03.536]:24.7529 Cel
2026-02-02T14:34:02.731,accel 8.192958 -0.167595 7.007828 m/s/s
2026-02-02T14:34:02.735,gyro  -0.056889 0.005862 -0.012257 rad/s
2026-02-02T14:34:02.839,[0:13:03.647]:24.7059 Cel
2026-02-02T14:34:02.843,accel 8.236053 -0.112528 6.940790 m/s/s
2026-02-02T14:34:02.847,gyro  -0.054225 0.011457 -0.011591 rad/s
2026-02-02T14:34:02.951,[0:13:03.759]:24.8471 Cel
2026-02-02T14:34:02.955,accel 8.202534 -0.124499 6.969521 m/s/s
2026-02-02T14:34:02.959,gyro  -0.058355 0.008793 -0.006528 rad/s
2026-02-02T14:34:03.062,[0:13:03.871]:24.8 Cel
2026-02-02T14:34:03.066,accel 8.248024 -0.158018 7.017405 m/s/s
2026-02-02T14:34:03.070,gyro  -0.056889 0.006928 -0.009459 rad/s
2026-02-02T14:34:03.174,[0:13:03.982]:24.7529 Cel
2026-02-02T14:34:03.178,accel 8.106766 -0.059856 7.050923 m/s/s
2026-02-02T14:34:03.182,gyro  -0.059287 0.007993 -0.010525 rad/s
2026-02-02T14:34:03.286,[0:13:04.094]:24.8941 Cel
2026-02-02T14:34:03.290,accel 8.204929 -0.114922 7.015010 m/s/s
2026-02-02T14:34:03.293,gyro  -0.057289 0.010525 -0.007727 rad/s
2026-02-02T14:34:03.397,[0:13:04.206]:24.8 Cel
2026-02-02T14:34:03.401,accel 8.159439 -0.064644 7.007828 m/s/s
2026-02-02T14:34:03.405,gyro  -0.057422 0.007594 -0.011591 rad/s
2026-02-02T14:34:03.509,[0:13:04.317]:24.9412 Cel
2026-02-02T14:34:03.513,accel 8.207323 -0.059856 6.964732 m/s/s
2026-02-02T14:34:03.516,gyro  -0.057555 0.010125 -0.007194 rad/s
2026-02-02T14:34:03.621,[0:13:04.429]:24.8941 Cel
2026-02-02T14:34:03.624,accel 8.202534 -0.146047 7.046135 m/s/s
2026-02-02T14:34:03.628,gyro  -0.057555 0.006128 -0.009192 rad/s
2026-02-02T14:34:03.732,[0:13:04.540]:24.8 Cel
2026-02-02T14:34:03.736,accel 8.224082 -0.059856 7.101202 m/s/s
2026-02-02T14:34:03.740,gyro  -0.055157 0.013189 -0.008793 rad/s
2026-02-02T14:34:03.844,[0:13:04.652]:24.8 Cel
2026-02-02T14:34:03.847,accel 8.188169 -0.059856 7.055712 m/s/s
2026-02-02T14:34:03.851,gyro  -0.056356 0.011457 -0.009059 rad/s
2026-02-02T14:34:03.955,[0:13:04.763]:24.7529 Cel
2026-02-02T14:34:03.959,accel 8.195352 -0.093374 7.077260 m/s/s
2026-02-02T14:34:03.963,gyro  -0.055690 0.008926 -0.011058 rad/s
2026-02-02T14:34:04.067,[0:13:04.875]:24.8 Cel
2026-02-02T14:34:04.070,accel 8.209717 -0.105345 7.110778 m/s/s
2026-02-02T14:34:04.074,gyro  -0.055957 0.007061 -0.008793 rad/s
2026-02-02T14:34:04.178,[0:13:04.986]:24.9412 Cel
2026-02-02T14:34:04.182,accel 8.216900 -0.086192 7.036558 m/s/s
2026-02-02T14:34:04.186,gyro  -0.057555 0.009992 -0.008926 rad/s
2026-02-02T14:34:04.290,[0:13:05.098]:24.8 Cel
2026-02-02T14:34:04.294,accel 8.212111 -0.055067 6.967126 m/s/s
2026-02-02T14:34:04.297,gyro  -0.056889 0.010125 -0.006528 rad/s
2026-02-02T14:34:04.401,[0:13:05.210]:24.7529 Cel
2026-02-02T14:34:04.405,accel 8.197746 -0.093374 6.981492 m/s/s
2026-02-02T14:34:04.409,gyro  -0.057022 0.011591 -0.008393 rad/s
2026-02-02T14:34:04.513,[0:13:05.321]:24.8941 Cel
2026-02-02T14:34:04.517,accel 8.142679 -0.138864 7.015010 m/s/s
2026-02-02T14:34:04.521,gyro  -0.056356 0.009459 -0.007061 rad/s
2026-02-02T14:34:04.625,[0:13:05.433]:24.8471 Cel
2026-02-02T14:34:04.629,accel 8.161833 -0.126893 6.986280 m/s/s
2026-02-02T14:34:04.632,gyro  -0.054225 0.008260 -0.008793 rad/s
2026-02-02T14:34:04.737,[0:13:05.545]:24.8941 Cel
2026-02-02T14:34:04.740,accel 8.209717 -0.086192 6.931213 m/s/s
2026-02-02T14:34:04.744,gyro  -0.055024 0.010125 -0.009725 rad/s
2026-02-02T14:34:04.848,[0:13:05.656]:24.8 Cel
2026-02-02T14:34:04.852,accel 8.147468 -0.064644 6.928819 m/s/s
2026-02-02T14:34:04.856,gyro  -0.057422 0.009459 -0.009725 rad/s
2026-02-02T14:34:04.960,[0:13:05.768]:24.7529 Cel
2026-02-02T14:34:04.963,accel 8.176198 -0.026337 6.967126 m/s/s
2026-02-02T14:34:04.967,gyro  -0.057289 0.008660 -0.011990 rad/s
2026-02-02T14:34:05.071,[0:13:05.880]:24.8 Cel
2026-02-02T14:34:05.075,accel 8.207323 -0.122105 6.979097 m/s/s
2026-02-02T14:34:05.079,gyro  -0.055290 0.013989 -0.010258 rad/s
2026-02-02T14:34:05.183,[0:13:05.991]:24.8471 Cel
2026-02-02T14:34:05.187,accel 8.202534 -0.071827 7.000645 m/s/s
2026-02-02T14:34:05.190,gyro  -0.053958 0.006395 -0.010658 rad/s
2026-02-02T14:34:05.294,[0:13:06.103]:24.8 Cel
2026-02-02T14:34:05.298,accel 8.188169 -0.117316 7.041347 m/s/s
2026-02-02T14:34:05.302,gyro  -0.056490 0.010791 -0.010525 rad/s
2026-02-02T14:34:05.406,[0:13:06.214]:24.8471 Cel
2026-02-02T14:34:05.410,accel 8.183381 -0.055067 7.017405 m/s/s
2026-02-02T14:34:05.413,gyro  -0.059687 0.008660 -0.013456 rad/s
2026-02-02T14:34:05.517,[0:13:06.326]:24.8 Cel
2026-02-02T14:34:05.521,accel 8.140285 -0.064644 6.991068 m/s/s
2026-02-02T14:34:05.525,gyro  -0.056356 0.010525 -0.012390 rad/s
